Household Name,First Name,Last Name,Account Type ,Custodian,Phone #,Email,Address,SSN#,DOB,Occupation,Employer,Client Tax Bracket,Estimated Liquid Net Worth,Estimated Total Net Worth,Annual income,Years of Experience - Bonds,Years of Experience - Stocks,Years of Experience - Alternatives,Years of Expience - VAs,Years of Experience - Mutual Funds,Years of Experience - Options,Years of Experience - Partnerships,Primary Investment Objective,Risk Tolerance,Time Horizon,Account Decision Making,Source of Funds,Primary Use of Funds,Liquidity Needs,Liquidity Time Horizon,Drivers License/ID # ,Drivers License/ID State,Drivers License/ID Issue Date,Drivers License/ID Expiration Date,Marital Status ,Bank Name,Bank Type - Checking/Savings,Account No,Beneficiary 1 Name,Beneficiary 1  %,Beneficiary 1 DOB,Beneficiary 2 Name,Beneficiary 2 %,Beneficiary 2 DOB
Stan and Barb Andersen,Stanley,Andersen,SEP IRA,Goldman,,p.v+1@gmail.com,"29118 472nd Ave, Beresford SD 57004",,25/1/1950,Farmer,Self Employed,20%,"$1,300,000","$3,000,000","$75,000",45,45,10,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
Stan and Barb Andersen,Stanley,Andersen,Lightstone REIT,,,p.v+2@gmail.com,"29118 472nd Ave, Beresford SD 57004",,26/1/1950,Farmer,Self Employed,20%,"$1,300,000","$3,000,000","$75,000",45,45,10,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
Stan and Barb Andersen,Barbara,Andersen,Joint RMA (Stan Anderson),Goldman,,pv+3@gmail.com,"29118 472nd Ave, Beresford SD 57004",,19/8/1952,Retired,,20%,"$1,300,000","$3,000,000","$75,000",45,45,10,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
Stan and Barb Andersen,Barbara,Andersen,IRA,Goldman,,p.v+1@gmail.com,"29118 472nd Ave, Beresford SD 57004",,19/8/1952,Retired,,20%,"$1,300,000","$3,000,000","$75,000",45,45,10,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,
Tom Biegler,Tom,Biegler,IRA ,,,p.v+2@gmail.com,"7109 W 22nd St, Sioux Falls, SD 57106",,29/1/1960,CEO ,Regency Hotel Mangement,Highest,"$2,000,000","$4,000,000","$600,000",40,40,0,0,40,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Scott and Sue Bull,Scott,Bull,,,,pv+3@gmail.com,"924 S Charlotte Ave, Sioux Falls, SD 57103",,18/3/1960,Retired ,Military,20,"$600,000","$1,000,000","$600,000",30,30,,,30,,,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Scott and Sue Bull,Sue,Bull,,,,p.v+1@gmail.com,"924 S Charlotte Ave, Sioux Falls, SD 57103",,30/6/1961,Retired,,20%,"$600,000","$1,000,000","$75,000",30,30,,,30,,,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Allen and Kate Cole,Allen,Cole,Joint (Katherine),,,p.v+2@gmail.com,"15397 296th Ave, Zimmerman, MN 55398",,2/7/1982,Team Lead Intl Comp,Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen and Kate Cole,Katherine,Cole,529 (Avery),,,pv+3@gmail.com,"15397 296th Ave, Zimmerman, MN 55398",,21/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen and Kate Cole,Katherine,Cole,IRA,,,p.v+1@gmail.com,"15397 296th Ave, Zimmerman, MN 55398",,21/9/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Cooper,Melissa,Cooper,Individual,,8866447722,p.v+2@gmail.com,"1511 S Center Ave, Sioux Falls, SD 57105",,2/2/1963,Accounting and Finance,American Surety Company,30%,"$3,000,000","$4,000,000","$250,000",30,30,0,10,30,0,0,,,,,,,,,,,,,,,,,,,,,,
Melissa Cooper,Melissa,Cooper,Roth IRA,,,pv+3@gmail.com,"1511 S Center Ave, Sioux Falls, SD 57105",,2/2/1963,,,30%,"$3,000,000","$4,000,000","$250,000",30,30,0,10,30,0,0,,,,,,,,,,,,,,,,,,,,,,
Melissa Cooper,Melissa,Cooper,IRA,,,p.v+1@gmail.com,"1511 S Center Ave, Sioux Falls, SD 57105",,2/2/1963,,,30%,"$3,000,000","$4,000,000","$250,000",30,30,0,10,30,0,0,,,,,,,,,,,,,,,,,,,,,,
Kevin and Ashley Crouch,Kevin,Crouch,Simple IRA,,,p.v+2@gmail.com,1416 W Waterstone Dr Sioux Falls SD 57108,,29/2/1964,Optometrist,Family Eye Care Center,30%,"$1,000,000","$3,500,000","$240,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Kevin and Ashley Crouch,Kevin,Crouch,Joint (Ashley Crouch),,,pv+3@gmail.com,1416 W Waterstone Dr Sioux Falls SD 57108,,29/2/1964,Optometrist,Family Eye Care Center,30%,"$1,000,000","$3,500,000","$240,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Kevin and Ashley Crouch,Ashley,Crouch,Simple IRA,,,p.v+1@gmail.com,1416 W Waterstone Dr Sioux Falls SD 57108,,8/10/1968,Optometrist,Family Eye Care Center,30%,"$1,000,000","$3,500,000","$240,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Kevin and Ashley Crouch,Ashley,Crouch,Joint (Kevin Crouch),,99991122233,p.v+2@gmail.com,1416 W Waterstone Dr Sioux Falls SD 57108,,8/10/1968,Optometrist,Family Eye Care Center,30%,"$1,000,000","$3,500,000","$240,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Jackson Davis,Jackson,Davis,Joint (Kevin Crouch),,,pv+3@gmail.com,6408 S Heatherridge Ave Sioux Falls SD 57108,,27/2/1994,Manager,Billion Auto,25%,"$50,000","$150,000","$100,000",5,5,0,0,5,0,0,Growth,,,,,,,,,,,,,,,,,,,,,
Chad Dubisar,Chad,Dubisar,529 (Columbia Future Scholar),,,p.v+1@gmail.com,5105 S Stockwell Cir Sioux Falls SD 57108,,,,,Highest,"$1,000,000","$2,500,000","$500,000",30,30,0,0,30,0,20,,,,,,,,,,,,,,,,,,,,,,
Mike Eggebraaten,Mike,Eggebraaten,Individual,,,p.v+2@gmail.com,1204 E 56th St Sioux Falls SD 57105,,12251969,,,15%,"$800,000","$1,400,000","$30,000",20,20,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Steve,Eggebraaten,Trust (joint w/ Michelle),,,pv+3@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,1/11/1968,General Manager,Vern Eide Motorcars,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Steve,Eggebraaten,IRA,,,p.v+1@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,1/11/1968,,,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Steve,Eggebraaten,Individual TOD,,,p.v+2@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,1/11/1968,,,25%,"$1,000,000","$1,700,000","$150,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Steve and Michelle Eggebraaten,Michelle,Eggebraaten,Trust (joint w/ Steve),,,pv+3@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,3/3/1971,,,25%,"$1,000,000","$1,700,000",$0,30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Henry ,Henry,Eggebraaten,Roth IRA,,,p.v+1@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,3/3/1999,Tournament Coordinator,Sanford International,22%,"$50,000","$50,000","$50,000",5,5,0,0,5,0,0,Growth,,,,,,,,,,,,,,,,,,,,,
Henry ,Henry,Eggebraaten,Individual,,,p.v+2@gmail.com,5221 S Woodsedge Trail Sioux Falls SD 57108,,3/3/1999,Tournament Coordinator,Sanford International,22%,"$50,000","$50,000","$50,000",5,5,0,0,5,0,0,Growth,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,IRA,,,pv+3@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,Joint (Susan),,,p.v+1@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,Individual,,,p.v+2@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,Jackson?,,547182012,pv+3@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,Jackson?,,,p.v+1@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Larry,Engeltjes,Prudential,,,p.v+2@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,15/8/1944,Retired ,Midwest Coast Transport,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,Joint (Larry),,,pv+3@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,IRA,,9888666211,p.v+1@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,Individual,,,p.v+2@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,Jackson,,,pv+3@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,Jackson,,,p.v+1@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Larry and Susan Engeltjes,Susan,Engeltjes,Prudential,,,p.v+2@gmail.com,1408 E Cedar Ln Sioux Falls SD 57103,,11/6/1944,Homemaker,,15%,"$2,000,000","$4,000,000","$75,000",50,50,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,Kevin,Foster,IRA,,,pv+3@gmail.com, 170 S Crestwood Rd Suttons Bay MI 49682,,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,Kevin,Foster,Aftertax,,,p.v+1@gmail.com, 170 S Crestwood Rd Suttons Bay MI 49682,,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,Kevin,Foster,UGMAx3,,,p.v+2@gmail.com, 170 S Crestwood Rd Suttons Bay MI 49682,,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Kevin Foster,Kevin,Foster,State Farm?,,,pv+3@gmail.com, 170 S Crestwood Rd Suttons Bay MI 49682,,,,,15%,"$1,800,000","$4,000,000","$75,000",40,40,0,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,
Ron and Patti Fox,Ron,Fox,,,,p.v+1@gmail.com,5400 S Shadow Wood Circle Sioux Falls SD 57108,,15/5/1962,Business Owner,Fox Drywall & Plastering,Highest,"$6,000,000","$18,000,000","$240,000",30,30,0,0,30,0,0,Growth w/income,,,,,,,,,,,,,,,,,,,,,
Ron and Patti Fox,Patti,Fox,Trust,,9999711122,p.v+2@gmail.com,5400 S Shadow Wood Circle Sioux Falls SD 57108,,6/12/1961,Business Owner,Fox Drywall & Plastering,Highest,"$6,000,000","$18,000,000","$120,000",30,30,0,0,30,0,0,growth w/income,,,,,,,,,,,,,,,,,,,,,
Ron and Patti Fox,Patti,Fox,SIMPLE IRA,,,pv+3@gmail.com,5400 S Shadow Wood Circle Sioux Falls SD 57108,,6/12/1961,Business Owner,Fox Drywall & Plastering,Highest,"$6,000,000","$18,000,000","$120,000",30,30,0,0,30,0,0,growth w/income,,,,,,,,,,,,,,,,,,,,,
Ron and Patti Fox,Patti,Fox,IRA,,,p.v+1@gmail.com,5400 S Shadow Wood Circle Sioux Falls SD 57108,,6/12/1961,Business Owner,Fox Drywall & Plastering,Highest,"$6,000,000","$18,000,000","$120,000",30,30,0,0,30,0,0,growth w/income,,,,,,,,,,,,,,,,,,,,,
Brian and Barb French,Brian,French,Joint Cash,,,p.v+2@gmail.com,"2730 N Vermillion Circle, Tea SD 57064",,,,,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian and Barb French,Barb,French,Joint Cash,,8761237891,pv+3@gmail.com,"2730 N Vermillion Circle, Tea SD 57064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry and Carol Fritz,Terry,Fritz,IRA (donations to Holy Spirit),,,p.v+1@gmail.com,"5004 S Pheasant Lane, Sioux Falls, SD 57108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry and Carol Fritz,Terry,Fritz,Joint (Carol Fritz),,,p.v+2@gmail.com,"5004 S Pheasant Lane, Sioux Falls, SD 57108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
